,"u","t_1","&lambda;_1","pkW","p","V_T"
"1",5000,373.2521740,5.401174168,.1,.15,28555.41
"2",10000,373.2521740,5.401174168,.1,.15,125441.58
"3",15000,373.2521740,5.401174168,.1,.15,299086.00
"4",20000,373.2521740,5.401174168,.1,.15,550013.85
"5",25000,373.2521740,5.401174168,.1,.15,873922.04
"6",30000,373.2521740,5.401174168,.1,.15,1263792.16
"7",35000,373.2521740,5.401174168,.1,.15,1711312.74
"8",40000,373.2521740,5.401174168,.1,.15,2207810.30
"9",45000,373.2521740,5.401174168,.1,.15,2744834.64
"10",50000,373.2521740,5.401174168,.1,.15,3314504.44
"11",55000,373.2521740,5.401174168,.1,.15,3909689.63
"12",60000,373.2521740,5.401174168,.1,.15,4524085.25
"13",65000,373.2521740,5.401174168,.1,.15,5152215.32
"14",70000,373.2521740,5.401174168,.1,.15,5789394.12
"15",75000,373.2521740,5.401174168,.1,.15,6431663.10
"16",80000,373.2521740,5.401174168,.1,.15,7075716.29
"17",85000,373.2521740,5.401174168,.1,.15,7718822.37
"18",90000,373.2521740,5.401174168,.1,.15,8358748.29
"19",95000,373.2521740,5.401174168,.1,.15,8993688.00
"20",100000,373.2521740,5.401174168,.1,.15,9622197.51
"21",105000,373.2521740,5.401174168,.1,.15,10243137.28
"22",110000,373.2521740,5.401174168,.1,.15,10855621.56
"23",115000,373.2521740,5.401174168,.1,.15,11458975.04
"24",120000,373.2521740,5.401174168,.1,.15,12052695.46
"25",125000,373.2521740,5.401174168,.1,.15,12636422.20
"26",130000,373.2521740,5.401174168,.1,.15,13209909.88
"27",135000,373.2521740,5.401174168,.1,.15,13773006.29
"28",140000,373.2521740,5.401174168,.1,.15,14325634.14
"29",145000,373.2521740,5.401174168,.1,.15,14867775.97
"30",150000,373.2521740,5.401174168,.1,.15,15399461.82
"31",155000,373.2521740,5.401174168,.1,.15,15920759.17
"32",160000,373.2521740,5.401174168,.1,.15,16431764.67
"33",165000,373.2521740,5.401174168,.1,.15,16932597.52
"34",170000,373.2521740,5.401174168,.1,.15,17423394.13
"35",175000,373.2521740,5.401174168,.1,.15,17904303.75
"36",180000,373.2521740,5.401174168,.1,.15,18375485.05
"37",185000,373.2521740,5.401174168,.1,.15,18837103.33
"38",190000,373.2521740,5.401174168,.1,.15,19289328.41
"39",195000,373.2521740,5.401174168,.1,.15,19732332.74
"40",200000,373.2521740,5.401174168,.1,.15,20166290.20
"41",205000,373.2521740,5.401174168,.1,.15,20591374.93
"42",210000,373.2521740,5.401174168,.1,.15,21007760.51
"43",215000,373.2521740,5.401174168,.1,.15,21415619.32
"44",220000,373.2521740,5.401174168,.1,.15,21815122.07
"45",225000,373.2521740,5.401174168,.1,.15,22206437.39
"46",230000,373.2521740,5.401174168,.1,.15,22589731.56
"47",235000,373.2521740,5.401174168,.1,.15,22965168.29
"48",240000,373.2521740,5.401174168,.1,.15,23332908.63
"49",245000,373.2521740,5.401174168,.1,.15,23693110.75
"50",250000,373.2521740,5.401174168,.1,.15,24045930.09
"51",255000,373.2521740,5.401174168,.1,.15,24391519.05
"52",260000,373.2521740,5.401174168,.1,.15,24730027.19
"53",265000,373.2521740,5.401174168,.1,.15,25061601.13
"54",270000,373.2521740,5.401174168,.1,.15,25386384.61
"55",275000,373.2521740,5.401174168,.1,.15,25704518.46
"56",280000,373.2521740,5.401174168,.1,.15,26016140.71
"57",285000,373.2521740,5.401174168,.1,.15,26321386.57
"58",290000,373.2521740,5.401174168,.1,.15,26620388.51
"59",295000,373.2521740,5.401174168,.1,.15,26913276.25
"60",300000,373.2521740,5.401174168,.1,.15,27200176.87
"61",305000,373.2521740,5.401174168,.1,.15,27481214.80
"62",310000,373.2521740,5.401174168,.1,.15,27756511.94
"63",315000,373.2521740,5.401174168,.1,.15,28026187.63
"64",320000,373.2521740,5.401174168,.1,.15,28290358.78
"65",325000,373.2521740,5.401174168,.1,.15,28549139.84
"66",330000,373.2521740,5.401174168,.1,.15,28802642.89
"67",335000,373.2521740,5.401174168,.1,.15,29050977.69
"68",340000,373.2521740,5.401174168,.1,.15,29294251.73
"69",345000,373.2521740,5.401174168,.1,.15,29532570.24
"70",350000,373.2521740,5.401174168,.1,.15,29766036.30
"71",355000,373.2521740,5.401174168,.1,.15,29994750.79
"72",360000,373.2521740,5.401174168,.1,.15,30218812.57
"73",365000,373.2521740,5.401174168,.1,.15,30438318.40
"74",370000,373.2521740,5.401174168,.1,.15,30653363.00
"75",375000,373.2521740,5.401174168,.1,.15,30864039.19
"76",380000,373.2521740,5.401174168,.1,.15,31070437.80
"77",385000,373.2521740,5.401174168,.1,.15,31272647.80
"78",390000,373.2521740,5.401174168,.1,.15,31470756.28
"79",395000,373.2521740,5.401174168,.1,.15,31664848.59
"80",400000,373.2521740,5.401174168,.1,.15,31855008.23
"81",405000,373.2521740,5.401174168,.1,.15,32041316.98
"82",410000,373.2521740,5.401174168,.1,.15,32223854.94
"83",415000,373.2521740,5.401174168,.1,.15,32402700.54
"84",420000,373.2521740,5.401174168,.1,.15,32577930.56
"85",425000,373.2521740,5.401174168,.1,.15,32749620.20
"86",430000,373.2521740,5.401174168,.1,.15,32917843.09
"87",435000,373.2521740,5.401174168,.1,.15,33082671.34
"88",440000,373.2521740,5.401174168,.1,.15,33244175.55
"89",445000,373.2521740,5.401174168,.1,.15,33402424.83
"90",450000,373.2521740,5.401174168,.1,.15,33557486.90
"91",455000,373.2521740,5.401174168,.1,.15,33709428.04
"92",460000,373.2521740,5.401174168,.1,.15,33858313.15
"93",465000,373.2521740,5.401174168,.1,.15,34004205.78
"94",470000,373.2521740,5.401174168,.1,.15,34147168.20
"95",475000,373.2521740,5.401174168,.1,.15,34287261.32
"96",480000,373.2521740,5.401174168,.1,.15,34424544.83
"97",485000,373.2521740,5.401174168,.1,.15,34559077.16
"98",490000,373.2521740,5.401174168,.1,.15,34690915.52
"99",495000,373.2521740,5.401174168,.1,.15,34820115.95
"100",500000,373.2521740,5.401174168,.1,.15,34946733.30
"101",505000,373.2521740,5.401174168,.1,.15,35070821.31
"102",510000,373.2521740,5.401174168,.1,.15,35192432.56
"103",515000,373.2521740,5.401174168,.1,.15,35311618.59
"104",520000,373.2521740,5.401174168,.1,.15,35428429.81
"105",525000,373.2521740,5.401174168,.1,.15,35542915.63
"106",530000,373.2521740,5.401174168,.1,.15,35655124.40
"107",535000,373.2521740,5.401174168,.1,.15,35765103.50
"108",540000,373.2521740,5.401174168,.1,.15,35872899.26
"109",545000,373.2521740,5.401174168,.1,.15,35978557.13
"110",550000,373.2521740,5.401174168,.1,.15,36082121.55
"111",555000,373.2521740,5.401174168,.1,.15,36183636.07
"112",560000,373.2521740,5.401174168,.1,.15,36283143.32
"113",565000,373.2521740,5.401174168,.1,.15,36380685.04
"114",570000,373.2521740,5.401174168,.1,.15,36476302.11
"115",575000,373.2521740,5.401174168,.1,.15,36570034.56
"116",580000,373.2521740,5.401174168,.1,.15,36661921.60
"117",585000,373.2521740,5.401174168,.1,.15,36752001.58
"118",590000,373.2521740,5.401174168,.1,.15,36840312.11
"119",595000,373.2521740,5.401174168,.1,.15,36926889.98
"120",600000,373.2521740,5.401174168,.1,.15,37011771.22
"121",605000,373.2521740,5.401174168,.1,.15,37094991.13
"122",610000,373.2521740,5.401174168,.1,.15,37176584.24
"123",615000,373.2521740,5.401174168,.1,.15,37256584.40
"124",620000,373.2521740,5.401174168,.1,.15,37335024.74
"125",625000,373.2521740,5.401174168,.1,.15,37411937.70
"126",630000,373.2521740,5.401174168,.1,.15,37487355.03
"127",635000,373.2521740,5.401174168,.1,.15,37561307.86
"128",640000,373.2521740,5.401174168,.1,.15,37633826.62
"129",645000,373.2521740,5.401174168,.1,.15,37704941.16
"130",650000,373.2521740,5.401174168,.1,.15,37774680.68
"131",655000,373.2521740,5.401174168,.1,.15,37843073.76
"132",660000,373.2521740,5.401174168,.1,.15,37910148.43
"133",665000,373.2521740,5.401174168,.1,.15,37975932.08
"134",670000,373.2521740,5.401174168,.1,.15,38040451.59
"135",675000,373.2521740,5.401174168,.1,.15,38103733.23
"136",680000,373.2521740,5.401174168,.1,.15,38165802.75
"137",685000,373.2521740,5.401174168,.1,.15,38226685.36
"138",690000,373.2521740,5.401174168,.1,.15,38286405.74
"139",695000,373.2521740,5.401174168,.1,.15,38344988.07
"140",700000,373.2521740,5.401174168,.1,.15,38402456.02
"141",705000,373.2521740,5.401174168,.1,.15,38458832.76
"142",710000,373.2521740,5.401174168,.1,.15,38514140.98
"143",715000,373.2521740,5.401174168,.1,.15,38568402.92
"144",720000,373.2521740,5.401174168,.1,.15,38621640.32
"145",725000,373.2521740,5.401174168,.1,.15,38673874.50
"146",730000,373.2521740,5.401174168,.1,.15,38725126.32
"147",735000,373.2521740,5.401174168,.1,.15,38775416.22
"148",740000,373.2521740,5.401174168,.1,.15,38824764.19
"149",745000,373.2521740,5.401174168,.1,.15,38873189.83
"150",750000,373.2521740,5.401174168,.1,.15,38920712.32
"151",755000,373.2521740,5.401174168,.1,.15,38967350.45
"152",760000,373.2521740,5.401174168,.1,.15,39013122.60
"153",765000,373.2521740,5.401174168,.1,.15,39058046.78
"154",770000,373.2521740,5.401174168,.1,.15,39102140.64
"155",775000,373.2521740,5.401174168,.1,.15,39145421.45
"156",780000,373.2521740,5.401174168,.1,.15,39187906.10
"157",785000,373.2521740,5.401174168,.1,.15,39229611.16
"158",790000,373.2521740,5.401174168,.1,.15,39270552.84
"159",795000,373.2521740,5.401174168,.1,.15,39310747.02
"160",800000,373.2521740,5.401174168,.1,.15,39350209.25
"161",805000,373.2521740,5.401174168,.1,.15,39388954.74
"162",810000,373.2521740,5.401174168,.1,.15,39426998.41
"163",815000,373.2521740,5.401174168,.1,.15,39464354.85
"164",820000,373.2521740,5.401174168,.1,.15,39501038.35
"165",825000,373.2521740,5.401174168,.1,.15,39537062.91
"166",830000,373.2521740,5.401174168,.1,.15,39572442.24
"167",835000,373.2521740,5.401174168,.1,.15,39607189.74
"168",840000,373.2521740,5.401174168,.1,.15,39641318.57
"169",845000,373.2521740,5.401174168,.1,.15,39674841.59
"170",850000,373.2521740,5.401174168,.1,.15,39707771.40
"171",855000,373.2521740,5.401174168,.1,.15,39740120.33
"172",860000,373.2521740,5.401174168,.1,.15,39771900.48
"173",865000,373.2521740,5.401174168,.1,.15,39803123.66
"174",870000,373.2521740,5.401174168,.1,.15,39833801.46
"175",875000,373.2521740,5.401174168,.1,.15,39863945.22
"176",880000,373.2521740,5.401174168,.1,.15,39893566.05
"177",885000,373.2521740,5.401174168,.1,.15,39922674.83
"178",890000,373.2521740,5.401174168,.1,.15,39951282.20
"179",895000,373.2521740,5.401174168,.1,.15,39979398.60
"180",900000,373.2521740,5.401174168,.1,.15,40007034.23
"181",905000,373.2521740,5.401174168,.1,.15,40034199.09
"182",910000,373.2521740,5.401174168,.1,.15,40060902.98
"183",915000,373.2521740,5.401174168,.1,.15,40087155.47
"184",920000,373.2521740,5.401174168,.1,.15,40112965.97
"185",925000,373.2521740,5.401174168,.1,.15,40138343.66
"186",930000,373.2521740,5.401174168,.1,.15,40163297.54
"187",935000,373.2521740,5.401174168,.1,.15,40187836.43
